title,link,score,review
극장판 귀멸의 칼날: 무한열차편,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=196051&target=after,10,귀칼영화관에서3번이나봄 ㅠㅜ인생작
결혼전야,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=104612&target=after,8,재미있음 이연희 욕하면서 보게됨근데....진짜 나쁜...
호빗 : 뜻밖의 여정,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=68073&target=after,10,재개봉 감사합니다.정말로
싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,6,우씨 유튜버들때문에 망작인줄 알았는데 평작이잖아
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,10,그냥그럴고 그럴고 으림
시동,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=183876&target=after,10,볼만합니다어렸을때 이런경험있는 사람들웃으면서 예전생각 어렴풋이 할수있을거같네요대사가 참 귀에 익네요자잘한 웃음 한참 동안 참을수없을겁니다가끔씩 큰웃음도 ㅋ잘봤습니다
듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,처음 봤을땐 이해가 어려웠는데 알고 두 번 보니깐 더 재밌음
성난 변호사,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=129051&target=after,2,몇년후여서 내용은 기억안나고 지금 기억나는건 김고은님 캐스팅미스인지 역할도 안어울리고 연기도 너무 어색했던 기억만 남아서 원래 김고은님에대해 별생각없었는데 이거 본 이후로 어디서 김고은님 나온다하면 믿고안보게됨
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,2,여친이 안깨웠으면 계속잤을듯
낙원의 밤,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=189050&target=after,1,이걸 영화라고. 하아..
분노의 질주: 언리미티드,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=74632&target=after,10,1편과 더불어 역대 최고.
프렌치 디스패치,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187312&target=after,8,"잡지를 읽는 느낌의 영화였는데 보면서 한번에 읽어지지 않는, 반복해 읽고싶은 페이지도 있었지만 처음부터 마지막까지 알차고 버릴 페이지 없는 애정이 듬뿍 담긴 잡지였습니다."
싱 스트리트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=146560&target=after,10,비긴어게인 정~말 좋아하지만 나에게는 싱스트리트가 감동이 더 깊다방황하는 청춘들은 왜 항상 아름다우면서도 짠할까?엔딩크레딧이 올라가며 나오는 음악에 그 감동과 벅참의 여운이 참으로 길다!
싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,10,"코미디,감동 다 잘 어울리게 재미있었어요!"
싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,3,하....너무한거 아니냐고
싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,1,....정말 역대재난엉화중 최악 연기는 차승뭔빼고
불한당: 나쁜 놈들의 세상,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=154112&target=after,10,임시완이 굉장히 매력적으로 나오는 영화
듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,
글래스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=163826&target=after,10,몇 안되는 감독다운 감독
피닉스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=129687&target=after,7,진실(?)을 알면서도 그렇게나 정성껏 도와주다니...왜 그렇게 순종적일까...믿고 싶지 않았겠지...영화 바바라(비슷한 영화 속 배경)에서도 주연을 맡았던 독일 배우 니나 호스...씁쓸하고 가혹했던 엔딩...남편 조니의 마지막 표정...
시동,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=183876&target=after,10,좋음.은근감동.의리
샹치와 텐 링즈의 전설,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187348&target=after,10,넥스트 스토리 기대되겠죠?굿 ~~~
시동,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=183876&target=after,10,
디어 에반 핸슨,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=207940&target=after,6,배우들의 연기와 메세지를 전달하려는 시도와 의미는 좋았습니다...만 스토리가 엉망이었던것같아요. 억지로 풀어나가는 느낌...? 헤태로가 억지로 동성애 인척 하는행동도 싫었고 동성애코드가 이용당한 느낌이 들어서 초반부터 기분나쁘게봤던것같습니다. 배우들은 잘못없음
아네트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=206657&target=after,6,소름끼치도록 서늘한 사랑에도 어린아이는 성장한다
말레피센트 2,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=167635&target=after,7,남자에 눈이 먼 오로라...사랑때문에 이성을 잃음..
싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,2,그냥 전형적인 한국 코믹+신파 영화.이렇게 만드는 공식같은게 있는듯.후우 답답..
파워 오브 도그,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=193857&target=after,8,와우 파워오브도그
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,1,"한숨이 나오네요,,,"
"그 여름, 가장 차가웠던",https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=196221&target=after,6,엄마의 죽음이후 모든 것이 엉망이 되어버린 한 소녀...복수(?)하고 싶다는 생각으로 시작된 아슬아슬한 미행실화 바탕이지만 조용하고 단조로운 스토리 전개가 아쉽...
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,8,재미는 있어요.그런데 마동석  왜 죽이냐고ㅠㅠ
12피트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=164150&target=after,1,개 쓰래기 영화네 진심으로
듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,올해 본 영화 중에서 최고였습니다. 하지만 배경 설명을 해주지 않으니 유튜브로 예습을 해가시길 추천드립니다.
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,3,믿고보던 마블이었는데...
소울,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184517&target=after,10,하..인생
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,2,하도 재미없어서 중간에 보다 나왔음  시간진짜 아까움
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,10,코로나로 힐링할꺼리 찾고 있었는데 딱이네요믿고 보는 배우라 걍 봤는데 요즘에 딱 맞는 깔끔하고 담백한 영화라 더욱유승룡 연기 지리는건 덤
강릉,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=208530&target=after,4,한줄평 : 고구마 100개
싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,10,솔직히 이정도면 재밌지. 중간에 신파 조금 줄이면 최곤데. 그게 조금 아쉽지만 이정도면 훌륭하다. 좋다.
귀멸의 칼날: 나타구모산 편,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=201681&target=after,9,그냥 팬심으로 가서보는거지 그래도 재밌더라 2기가 나오기전 최고의 선택
샹치와 텐 링즈의 전설,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187348&target=after,1,손오공 만화 수준보다 낮음.
징글 쟁글: 저니의 크리스마스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=199865&target=after,7,이런건 계절 탈듯. 크리스마스즈음에 봐야지 여름에 보면 재미반감
듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,"재미없단 평듣고 걱정 했었는데 몰입감 있고 흥미진진한 스토리, 예습없이봐도 돼요."
아내를 죽였다,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=181584&target=after,2,ㅇ시언의재발견정말 연기가....
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,1,"선택적 PC와 어줍잖은 선민의식이 가득한 편견에 사로잡힌 인류애를 보여주는 영화...히로시마에 핵폭탄이 터져서 몇 만명의 사상자가 났지만, 그전에 일본인들은 총칼만으로 민간인을 천만에 가깝게 도륙했다는 걸 알면서도 히로시마 원폭에 대해 논했다면 디즈니만큼 쓰레기같은 기업은 세상에 없을 것이다."
보이스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=190320&target=after,10,"조선족과 짱깨들의 악랄함을 적나라하게 고발한 영화. 너무나 통쾌하고 멋집니다. 애국하는 영화라는 생각이 드네요. 이런 영화들이 앞으로 더욱 많아져서 경각심을 고취시켰으면 좋겠습니다. 짱깨out 조선족out 자유대한민국을 수호하는 이런 영화가 더욱 많아졌으면 좋겠습니다! 요즘 이상한 선동영화들이 많던데, 간만에 애국심을 고취시키는 영화가 나온 것 같아서 너무나 뿌듯하네요. 변요한, 김무열 등등 정말 멋진 배우들입니다. 잊지 않겠습니다! 응원하고 지지합니다~"
아나콘다 2 - 사라지지 않는 저주,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=38740&target=after,5,"정글 탐험, 여전사 강림"
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,6,빵빵터지는건 아니지만 피식정도는 되는듯
야쿠자와 가족,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=199269&target=after,10,야쿠자가 아닌 늙어가고 도태되어가는 사람의 이야기.
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,1,마블영화 빼지 않고 다 봤지만 제일 별로였음.영화관가서 볼 정도 까진 아님.
기적,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=199860&target=after,10,볼만합니다...
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,2,영화가 너무 지루해서 애플워치 언제살지 고민만 하고 나왔음
디어 에반 핸슨,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=207940&target=after,2,급전개에 스토리상 이해안되는 부분이 많았어요 노래만 좋아요.. 조이가 에반 좋아하게 된건 노래를 잘 불러서인걸로 이해하기로 했습니다
레인 오버 미,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=57997&target=after,10,"흔할지는 모르겠지만 누군가 진짜 힘들어하는데 그냥 툭 던지는 ""힘내"" 라는 이 말은 사실 어떤이에게는 더 고통을 주기도 한다."
듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,"너어어무 재밌고 인생영화 ㅋㅋ3디 있으면 대박이엇을듯 근데 확실히 호불호있네요 같이간 친구는 지루하데요  전 갠적으로 티모시가 지분이 50프로 ㅋㅋㅋㅋ 나머지는 연출, 창의력이랑 음악 그리고 여왕도 엄청 존재감 높네요 .. 로멘스는 없어요"
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,4,진짜 코로나 이후 영화를 오랜만에 보는데 진짜 중국스러웠네요내용도 스토리도 뭐하나 깔끔한게.없음
고양이에게 밥을 주지 마세요,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=195962&target=after,10,동물은 상처를 받기만 할 뿐 주진 않아요.. 어찌 됐든 모든 사람들과 동물들이 상처받지 않고 행복하게 살아가길 바랍니다.
강릉,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=208530&target=after,6,평이 그닥 기대안해서 인지 혼자 볼만했음. 그러나 친구랑 같이 갔으면 조넨 미안할뻔. 현실조폭 그린듯 눈가리고 옛날 감성. 90년대면 흥행했겠지만 시방은 2021년. 장혁님 찐팬이다보니 극장에서 봤는데 당최 왜그르케까지 설명부족으로 마지막도 개황당. 욕하는건 아니고 장혁님 화이링!!!
클로버필드 10번지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=134856&target=after,1,OOOO영화네요..
디어 에반 핸슨,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=207940&target=after,6,기대했던 것보다 많이 지루했다
프렌치 디스패치,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187312&target=after,8,지루하지만 영상미가 독특한 영화
레드 노티스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191543&target=after,10,사실 드웨인 존스가 갤 가돗이랑 한패임수고 ㅂ그리고 잼있음
프렌치 디스패치,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187312&target=after,8,내용에는 호불호가 생길 수 있는하지만 정말 이쁜 영화네요.
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,2,마블아니였으면 이정도로 유명하지도 못했고 ㄹㅇ 노잼;; 시간아까워 잠이나잘껄
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,1,한국에서 옴니버스형식의 영화는 성공한걸 본적이없다..
레드 노티스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191543&target=after,1,이정도로 구리기도 어려운데
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,10,가벼운 영화면서 연인끼리 보기에 좋은 영화입니다~ 강추입니다!!영화 보고 나면 왜 장르만 로맨스인지 알 수 있어요 ㅋㅋㅋ코시국에 오백만 갔으면 좋겠네요!!
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,1,아.. 재미있었는데.. 진짜 재미있었는데 각본가..
쇼생크 탈출,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=17421&target=after,10,명작의 품격을 보여주는 영화. 희망에 대한 감각은 게츠비에게만 있는 것이 아니었다.
베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,5,청불로 좀 만들면 안되냐. 케릭터의 정체성에 비해 액션이 똥 싸다만 느낌이다. 별 재미 없고 시끄럽기만 한 티키타가의 향연. 싸움의 이유가 크지 않고 개인적이며 딱히 극적이라 할 것도 없다.
싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,1,넷플떠서봤는데.. 보다가 끔.. ㅡㅡ
걸캅스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=174065&target=after,1,이게 왜 9점인지 1도 이해 안되네
걸캅스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=174065&target=after,1,이게 왜 9점인지 1도 이해 안되네
익스트랙션,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=192481&target=after,8,연기 너무 잘함 몰입도 최고
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,8,평점이 별로인게 많고 재미없다는 의견이 많아서 별 기대없이 봤는데 저는 재밌게 봤어요 마동석 분량이 생각보다 적어서 아쉬웠지만요
지구를 지켜라!,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=36344&target=after,6,"나는 이 영화의 작품성을 이해하지 못하겠다. 그러나 신하균이 연기를 잘했고, 그래서 지루하진 않았다."
몬스터 헌터,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=190011&target=after,6,나름 그래픽좋고..볼만함
베테랑,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=115977&target=after,10,와 진짜..미쳤다 ㅋㅋ진짜 말로 설명할수가없음배우들 연기 개쩔고 특히 황정민 유아인은 진짜 소름
마이 라이프,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=17273&target=after,10,"모두와 화해하고 행복한 삶의 첫걸음은,  스스로를 사랑하고 용서하는 것..짧은 생이었지만 풍성했고, 아름답게 매듭지었다..감동적인 수작이다."
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,1,"마블이라는 거대한 프랜차이즈의 각본가라면, 그것도 피해자들이 있는 역사를 다루는 거라면. 조금 더 자료를 조사해서 객관적인 시선으로 조심스럽게 접근해야했어야 싶네요. 히로시마는 우리나라 뿐만이 아닌 동아시아, 미국, 네덜란드와 다른 유럽국가들도 피해자입니다. 일제강점기때 얼마나 많은 사람들이 고통속에서 가족들과 헤어지고 말로 설명하기도 끔찍한 일들을 겪고, 고문과 실험으로 잔인하게 죽었나요? 진주만때 얼마나 많은 사람들이 죽었는지 아시나요? 또한 미군을 재미로 인육으로 섭취한 것도? 부시 대통령또한 그 피해자로 일본을 용서하지 못했습니다. 독일과 다르게, 피해자들은 일본에게서 제대로 된 사과도 받지 못했고요. 이러한 피해자들을 무시한채로 미군을 무고한 시민을 죽인 나쁜놈 프레임 씌우는 것이 역겹습니다. 민간인들이 희생된 것은 같은 인간으로서 안타깝지만 미군이 그러한 결정을 내리지 않았더라면 어찌되었을까요? 그리고 단 한번이라도 일본은 자신의 피해를 말하기 전에 그들이 저지른 일에 진심으로 사죄하는 시늉이라도 보였나요? 우리가 이런일을 저지르지 않았더라면... 하고 생각이라도 해보았나요? 전혀요. 그저 너네 왜 우리한테 그랬어? 같은 어린아이 때쓰는 듯한 논리를 취하고 있죠.또한 아즈텍이 스페인에게 불쌍하게 학살당한 피해자가 아니게 된 것은 꽤나 오래전에 밝혀지지 않았던가요? 스페인 군대보다도 그 주변 부족들이 아즈텍의 멸망과 학살에 앞장섰죠. 지금까지도 그 부족들의 후손들은 아즈텍 후손들과 사이가 좋지 않구요. 저는 그 아즈텍 장면도 매우 불편했습니다. 멍청한 각본가가 위키피디아라도 한번 읽어봤더라면 싶었네요. 이래서 책을 한권만 읽은 사람이 무섭습니다. 자신이 알고있는 사실이 확실한가 자료조사를 10분만 했었더라도 알수 있었던 사실들을 말이죠. 앞으로 저 각본가와 예술병 걸린 감독의 영화는 거를 듯 싶네요! 고마워요!마동석 배우님을 좋아해서 저 둘의 OO짓에 화가 많이 납니다.감상포인트는 없습니다. 돈을 아끼시고 보시려거든 듄을 보세요."
듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,극장에서 봐야 할 영화~
루시,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=107960&target=after,8,재밌네요... 초반 오글 거리는 연출은 옥에 티.. 잘봤습니다..
악마를 보았다,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=72408&target=after,2,악마는 없고 오그라 드는 대사만 있다.
혼자 사는 사람들,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=201863&target=after,10,"저는 이런 영화가 땡겻어요. 1인가구가 많아지는 시대에 이렇게 외로운 주인공을 다룬 영화요. 저는 외톨이 삶을 인생의 절반이 넘게 살았는데 제 삶과는 전혀 다르게 흘러가는 영화의 스토리지만.. 혼자,혼밥 같은 외로운 분위기의 것들에 끌렸어요. 일본의 영화 드라마도 이런류의 스토리것들을 찾으려 노력하는데 찾기가 쉽지 않네요. 우리나라에선 더욱 힘들고. 여튼 외로운 삶이 꼭 나쁘지 만은 않아요. 저는 자발적이 아니라 좀 슬픈 삶이지만, 사람을 만나는거 좋은 사람만나는거 이런거는 본인이 착하고 말고가 중요한게 아니라 운도 중요하거든요. 분명 있어요, 인복이라는게. 함부로 관계를 맺는게 아니라는거 요즘 뉴스를 보면 확인할수 있잖아요? 저는 31살이지만 이미 10대 초반에 알았는데, 모르시는분들 그런 분들은 대부분 순진하고 착한분들이던데, 사람한테 상처입고, 그런정도로 끝나서 저 같이 그냥 혼자 사는 사람들이 생기는 정도라면 어느정도 다행이다 여겨질정도로 사람이 죽음을 당하기도 하고 일가족이 몰살을 당하기도 하는, 잘못 맺은 관계 때문에. 여튼 혼자가 꼭 나쁜게 아니다, 지금 시대에선.. 이 영화 주인공 공승연님도 먹고 살라고 일을 하시지만, 돈만 좀 있고 아프지만 않다면 혼자 살기 참 좋은세상은 맞죠."
레드 노티스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191543&target=after,2,"라이언 보려고 이 지루한 영화를 봄.. 진짜 옛날 헐리웃 영화, 너무 촌스럽다. 유치한 개그, 대사, 스토리. 내가 처음으로 감상평을 다 써보네. 보지 말 것. 비추. 시간 낭비"
프렌치 디스패치,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187312&target=after,8,"이해하려고 하면 재미없는 웨스 앤더슨 영화. 전작들에 비해 솔직히 재미는 덜하지만, 여전한 영상미와 그의 신작 개봉이라는 사실만으로 볼 이유는 충분!"
프렌치 디스패치,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187312&target=after,8,오밀조밀한 화면으로 바라본 저널리즘의 낭만
귀멸의 칼날: 나타구모산 편,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=201681&target=after,10,웅~장~ 벽력일섬 쓸 때 소름 3번 돋았고 히노카미 카구라 쓸 때 소름 2번 돋음. 역시 영화관에서 보는게 더 좋네요.
언브로큰,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=104478&target=after,6,순간의 고통을 견디면 영원한 영광을 누릴수 있어
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,10,류승룡과 오나라 연기 짱임다~~♡ 느무 재밌공 나름 감동두 있었어욤 가정의 의미를 살짝 되돌아보는ㅎ 응원합니다 ^_^
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,1,"전반적으로 다 괜찮았다 한장면 빼고 그장면이 이번작을 망쳤다.바로 히로시마 원폭장면 이었다 앞 뒷 장면 없이 딱 한장면으로 나왔고 이터널스는 그 한장면에서 일본 원폭 떨어진곳에서 주저앉아 우는 장면이었다 영화상으로는 인류의 비극 땜 울었다고는 하는데 여기까지는 맞는 말이다 절대 일어 나지 말아야 할 일이 일어난것이니 하지만 문제는  일본이 원폭 맞기전 까지 일본이 한 만행들인것이다 일제강점기 부터 시작해 수많은 학살, 강간, 이체 실험 등 예고 없이 전쟁을한 전범국인것이다 앞 뒷 장면 없이 딱 한장면만 그게 딱 원폭 맞고 난뒤 장면이라는 것이다 그곳에서 우는 이터널스 최악이였다.마블 영화중 최악이 였다 한장면 땜"
듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,2,최악 중 최악 인물들에 감정이입 하나도 안되고 누가 싸우다 OO도 눈물 한방울 안나오는 영화 처음 봄누가 결투씬도 노잼이라고 한거 격하게 공감함 쓰잘데 없는 슬로우는 왜케 처거는지신비로운척 웅장한척 있어 보이려고 발악 OO염병 매력있는 캐릭터 한명도 없고 지들끼리 그사세아이멕스만 아니면 뛰쳐 나오는건데 돈 베리고 시간 베리고 18
아메리칸 셰프,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=109920&target=after,4,한국요리는 거절당할껄에서 점수 깎습니다.
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,10,재밌게 봤어요~ 유머도 있고 내용도 좋았어요
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,10,너무너무 재밌는 영화였음.즐겁고 연기잘함
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,10,너무 재미있고 인상깊었습니다.
강릉,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=208530&target=after,7,예상가능한 늘 봐온 느와르
프렌치 디스패치,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187312&target=after,10,
프렌치 디스패치,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187312&target=after,8,재미는 보통이지만 잘 만든 영화 느낌
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,2,최악 각본가 인터뷰보고와도 심각할정도로 최악
듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,9,올해 개봉작중 가장 인상깊게 본거 같네요~다음편 빨리보고싶어요!
이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,4,마블이 마블 다운 영화를 만들어야 되는데...   영화 속의 인권 부분이 너무 많이 들어간 듯 하다장애 인종 아동…. 그리고 인간애  그 모든 것을 2시간  영화 필름에 히어로를 섞어서 표출 한다는게 쉽지는 않을 듯하다 아무튼 아쉬움 잔뜩
장르만 로맨스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185264&target=after,8,저는 재밋게 봤어요.카센터에서 연기잘하던 조은지씨가 감독이어서 놀랐네요. 연기는 다 잘하시고. 강릉보단 훨씬좋았네요.
고령화 가족,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=97693&target=after,4,등장 인물들의 연기를 보는것이 재미있고 내용면에서는 평범했던것 같다.
졸업,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=10453&target=after,7,컬트 영화 같은 연출. 극적인 배우들의 연기. 영화 분위기 전체를 휘감는 OST 그럼에도 큰 감동이 없는 이유는?
